time , temp
0.00019,25.0
0.300669,25.0
0.601165,25.0
0.901648,25.0
1.202074,25.0
1.502546,27.375
1.802966,30.921875
2.103446,32.03125
2.403927,30.640625
2.70441,29.453125
3.004895,31.390625
3.305382,37.203125
3.605868,38.75
3.906357,38.375
4.206843,39.71875
4.507329,43.359375
4.807794,46.515625
5.108277,46.46875
5.408725,45.546875
5.709201,44.296875
