time , accel_x , accel_y , accel_z
0.000209,0.010779999876,-0.00269499996901,0.990289988612
0.321181,-0.00269499996901,-0.0208249997605,0.996659988538
0.631956,-0.000489999994365,0.00808499990702,0.982694988699
0.94272,-0.00171499998028,-0.00195999997746,0.996414988541
1.253493,0.000244999997183,0.00318499996337,0.99739498853
1.564227,-0.00514499994083,0.00342999996056,0.998619988516
1.875011,0.00122499998591,-0.00244999997183,0.997884988524
2.185789,0.000734999991548,-0.00220499997464,1.0000899885
2.496524,-0.00195999997746,-0.00734999991548,0.998864988513
2.807298,0.00367499995774,-0.00710499991829,1.00131498848
3.118033,-0.00489999994365,0.00612499992956,1.01356498834
3.42879,-0.000244999997183,-0.00367499995774,1.00180498848
3.739587,-0.00220499997464,0.00587999993238,0.998619988516
4.050364,-0.00612499992956,-0.00465499994647,0.992984988581
4.360914,-0.00293999996619,-0.00195999997746,1.00743998841
4.671696,-0.00906499989575,-0.00930999989294,1.00474498845
4.98247,0.0122499998591,-0.0166599998084,1.00204998848
5.293262,-0.00808499990702,-0.00269499996901,1.00106998849
5.604041,-0.00832999990421,0.00244999997183,1.00351998846
5.914816,0.00097999998873,-0.00293999996619,1.00131498848
